lon_start,lat_start,Count
234.999,24.396308,14
68.7,6.5,12
122.93457,24.396,10
60.9,23.6,7
0.0,41.3,7
2.5,49.5,6
350.7,36.0,5
3.4,50.7,4
5.8,41.7,3
73.5,18.1,3
19.3,34.9,3
20.2,43.6,3
25.0,22.0,3
6.6,36.0,3
88.0,20.6,2
113.3,-43.7,2
124.6,33.0,2
32.2,34.5,2
350.4,36.6,2
219.0,41.7,2
351.8,49.9,2
11.002,55.3423,1
9.5,47.0,1
8.0,19.0,1
5.955,45.815,1
34.0,16.0,1
30.0,41.0,1
20.9,54.5,1
22.0,8.0,1
17.1,47.7,1
18.0,41.0,1
18.8,41.9,1
19.3,39.6,1
15.8,42.5,1
16.5,-34.8,1
12.1,48.5,1
69.0,39.0,1
124.3,37.7,1
241.5,14.5,1
286.4,-55.0,1
341.8,27.6,1
